4,Vehicle Exporting
5,Unregistered MSB
6,Unregistered MSB
8,Structuring Utilizing OBCs
7,Illegal Import/Export
9,Illegal Import/Export
11,Unknown Source of Check Funding
12,Tax Evasion
13,Phony Storefront
1,Ponzi Scheme
14,Human Trafficking
15,Political Corruption
16,Employee Corruption
17,Illegal Import/Export
18,Structuring Utilizing OBCs
19,Political Corruption
20,Employee Corruption
21,Vehicle Exporting
22,Structuring Utilizing OBCs
3,Ponzi Scheme
23,Political Corruption
24,Employee Corruption
35,Shell Company
25,Unregistered MSB
26,Human Trafficking
10,Unknown Source of Check Funding
27,Dormant Account
2,Ponzi Scheme
28,Vehicle Exporting
29,Phony Storefront
30,Human Trafficking
31,Phony Storefront
32,Tax Evasion
33,Funnel Account
34,Unknown Source of Check Funding
36,Ponzi Scheme
37,Employee Corruption
38,Human Trafficking
39,Political Corruption
40,Phony Storefront
41,Vehicle Exporting
42,Shell Company
43,Tax Evasion
44,Employee Corruption
45,Illegal Import/Export
46,Funnel Account
47,Shell Company
48,Political Corruption
49,Dormant Account
50,Ponzi Scheme
51,Unknown Source of Check Funding
52,Shell Company
53,Funnel Account
54,Shell Company
55,Dormant Account
56,Structuring Utilizing OBCs
57,Phony Storefront
58,Unregistered MSB
59,Funnel Account
60,Shell Company
61,Dormant Account
62,Political Corruption
63,Vehicle Exporting
64,Human Trafficking
65,Ponzi Scheme
66,Unknown Source of Check Funding
67,Unregistered MSB
68,Funnel Account
69,Structuring Utilizing OBCs
70,Illegal Import/Export
71,Shell Company
72,Employee Corruption
73,Ponzi Scheme
74,Dormant Account
75,Phony Storefront
76,Ponzi Scheme
77,Vehicle Exporting
78,Human Trafficking
79,Unknown Source of Check Funding
80,Shell Company
81,Unregistered MSB
82,Funnel Account
83,Structuring Utilizing OBCs
84,Dormant Account
85,Political Corruption
86,Illegal Import/Export
87,Shell Company
88,Human Trafficking
89,Tax Evasion
90,Employee Corruption
91,Ponzi Scheme
92,Political Corruption
93,Tax Evasion
94,Dormant Account
95,Funnel Account
96,Employee Corruption
97,Human Trafficking
98,Illegal Import/Export
99,Phony Storefront
100,Structuring Utilizing OBCs
101,Unknown Source of Check Funding
102,Unregistered MSB
103,Vehicle Exporting
104,Tax Evasion
105,Political Corruption
